,Class of Rating,Name,Rating Score,Review Number,URL
161,,Three-Bedroom on South Street Apt 5 II,,,http://booking.com/hotel/us/three-bedroom-on-south-street-apt-5-ii.html#hotelTmpl
162,Awesome,Goodwin Beacon Hill House,9.1,143 reviews,http://booking.com/hotel/us/goodwin-beacon-hill-house.html#hotelTmpl
163,Very Good,Courtyard Boston Copley Square,8.5,202 reviews,http://booking.com/hotel/us/courtyard-boston-copley-square.html#hotelTmpl
164,,Jefferies Point Condos by Airport & Subway,,,http://booking.com/hotel/us/jefferies-point-condos-by-airport-amp-subway.html#hotelTmpl
165,,Two-Bedroom on Washington Street Apt 407,,,http://booking.com/hotel/us/two-bedroom-on-washington-street-apt-407.html#hotelTmpl
166,,One-Bedroom on Washington Street Apt 206,,,http://booking.com/hotel/us/one-bedroom-on-washington-street-apt-206.html#hotelTmpl
167,Excellent,Cherrywood on Beacon Hill,8.8,536 reviews,http://booking.com/hotel/us/cherrywood-on-beacon-hill.html#hotelTmpl
168,Review score,2BR With Views of Charles River by STARS of Boston,6.8,10 reviews,http://booking.com/hotel/us/beautiful-2-bed-views-of-charles-river-back-bay.html#hotelTmpl
169,Very Good,Four-Bedroom on Hamilton Place Apt 406,8.5,205 reviews,http://booking.com/hotel/us/four-bedroom-on-hamilton-place-apt-406.html#hotelTmpl
170,Good,Global Luxury Suites at West End,7.5,9 reviews,http://booking.com/hotel/us/gsa-luxury-apartment.html#hotelTmpl
171,Good,Comfort Inn Boston,7.5,921 reviews,http://booking.com/hotel/us/c-i-boston-massachusettes.html#hotelTmpl
172,Excellent,Studio on Washington Street Apt 202,8.6,118 reviews,http://booking.com/hotel/us/studio-on-washington-street-apt-202.html#hotelTmpl
173,,One-Bedroom on Brookline Avenue Apt 634,7.5,,http://booking.com/hotel/us/one-bedroom-on-brookline-avenue-apt-634.html#hotelTmpl
174,Excellent,Encore Bed and Breakfast,8.9,80 reviews,http://booking.com/hotel/us/encore-b-b.html#hotelTmpl
175,,Two-Bedroom on Washington Street Apt 507,,,http://booking.com/hotel/us/two-bedroom-on-washington-street-apt-507.html#hotelTmpl
176,,Studio on Washington Street Apt 203,,,http://booking.com/hotel/us/studio-on-washington-street-apt-203.html#hotelTmpl
177,Very Good,One-Bedroom on Elko Street Apt 8,8.0,29 reviews,http://booking.com/hotel/us/one-bedroom-on-elko-street-apt-8.html#hotelTmpl
178,Very Good,Courtyard Boston-South Boston,8.4,334 reviews,http://booking.com/hotel/us/courtyard-boston-south-boston.html#hotelTmpl
179,Very Good,Boston Omni Parker House Hotel,8.3,"2,547 reviews",http://booking.com/hotel/us/boston-omni-parker-house.html#hotelTmpl
180,Very Good,Courtyard Boston-South Boston,8.4,334 reviews,http://booking.com/hotel/us/courtyard-boston-south-boston.html#hotelTmpl
181,Very Good,Boston Omni Parker House Hotel,8.3,"2,547 reviews",http://booking.com/hotel/us/boston-omni-parker-house.html#hotelTmpl
182,Good,Courtyard by Marriott Boston Logan Airport,7.9,418 reviews,http://booking.com/hotel/us/courtyard-boston-logan-airport.html#hotelTmpl
183,Review score,Two-Bedroom on Commonwealth Avenue Apt 311,6.9,"2,252 reviews",http://booking.com/hotel/us/two-bedroom-on-commonwealth-avenue-apt-311.html#hotelTmpl
184,Very Good,One-Bedroom on Beacon Street Apt 17,8.0,"2,708 reviews",http://booking.com/hotel/us/one-bedroom-on-beacon-street-apt-17.html#hotelTmpl
185,Very Good,One-Bedroom on D Street Apt 345,8.3,5 reviews,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-345.html#hotelTmpl
186,,One-Bedroom on D Street Apt 353,7.5,,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-353.html#hotelTmpl
187,Very Good,One-Bedroom on Brookline Avenue Apt 834,8.8,"2,805 reviews",http://booking.com/hotel/us/one-bedroom-on-brookline-avenue-apt-834.html#hotelTmpl
188,Good,Two-Bedroom on Hamilton Place Apt 302,7.3,136 reviews,http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-302.html#hotelTmpl
189,Excellent,"The Liberty, a Luxury Collection Hotel",8.8,536 reviews,http://booking.com/hotel/us/the-liberty.html#hotelTmpl
190,Awesome,Mandarin Oriental Boston,9.2,84 reviews,http://booking.com/hotel/us/mandarin-oriental-boston.html#hotelTmpl
191,,Herbivorian House,,,http://booking.com/hotel/us/herbivorian-house.html#hotelTmpl
192,,One-Bedroom on D Street Apt 151,9.6,,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-151.html#hotelTmpl
193,Good,Midtown Hotel,7.7,"1,128 reviews",http://booking.com/hotel/us/midtown.html#hotelTmpl
194,,The Head of The Charles,,,http://booking.com/hotel/us/the-head-of-the-charles.html#hotelTmpl
195,,306 on Washington Apts,,,http://booking.com/hotel/us/306-on-washington-apts.html#hotelTmpl
196,Very Good,The West End Family Getaway,10,"2,108 reviews",http://booking.com/hotel/us/the-west-end-family-getaway.html#hotelTmpl
